,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
76,76,76,1212.7697274031564,99.7252510760402,195
77,77,77,1326.170014347202,163.88593974175038,225
78,78,78,1321.6936872309898,238.4913916786227,240
79,79,79,1287.3751793400286,228.04662840746053,240
80,80,80,1329.154232424677,204.17288378766148,240
81,81,81,1332.138450502152,116.13845050215208,240
82,82,82,1284.3909612625534,150.45695839311338,240
83,83,83,1282.8988522238162,101.21736011477763,240
84,84,84,1245.59612625538,128.0753228120517,240
85,85,85,1193.3723098995697,140.0121951219512,240
86,86,86,1196.3565279770446,171.34648493543762,240
87,87,87,1193.3723098995697,228.04662840746053,240
88,88,88,1123.2431850789096,241.4756097560976,255
89,89,89,1245.59612625538,75.85150645624104,255
90,90,90,1342.583213773314,60.93041606886664,255
91,91,91,1297.8199426111908,44.51721664275465,270
92,92,92,1260.5172166427544,335.4784791965567,270
93,93,93,1170.990674318508,89.28048780487802,270
94,94,94,1168.006456241033,135.53586800573885,270
95,95,95,1109.8142037302723,184.77546628407453,270
96,96,96,1091.9088952654229,251.92037302725976,270
97,97,97,1057.590387374462,235.50717360114777,270
98,98,98,1014.319225251076,248.93615494978485,270
99,99,99,1050.1298421807746,157.91750358680062,285
100,100,100,1317.2173601147774,13.182926829268355,285
101,101,101,1214.2618364418938,253.4124820659971,285
102,102,102,1202.3249641319944,295.1915351506457,300
103,103,103,1290.3593974175035,378.7496413199426,300
0,0,0,241.40674318507888,410.0839311334289,0
1,1,1,251.85150645624103,441.41822094691526,15
2,2,2,296.6147776183644,417.5444763271162,15
3,3,3,289.1542324246772,505.5789096126255,30
4,4,4,1190.3880918220946,148.96484935437593,30
5,5,5,1220.2302725968436,169.85437589670016,30
6,6,6,198.13558106169305,429.4813486370159,45
7,7,7,232.4540889526543,399.6391678622668,45
8,8,8,253.34361549497848,471.26040172166427,45
9,9,9,302.58321377331424,486.1814921090387,45
10,10,10,1108.322094691535,501.1025824964131,45
